image_name,label,split
42953.png,0,train
23058.png,0,train
13894.png,0,train
37408.png,0,train
82403.png,0,train
16952.png,0,train
76932.png,0,train
70914.png,0,train
02973.png,0,train
58306.png,0,train
79351.png,1,train
34096.png,0,train
25489.png,1,train
19324.png,0,train
79346.png,0,train
13426.png,0,train
97628.png,0,train
14238.png,0,train
28936.png,0,train
59784.png,0,train
02146.png,0,train
70146.png,0,train
28061.png,0,train
97180.png,0,train
49752.png,0,train
25610.png,0,train
15872.png,0,train
72640.png,1,train
64318.png,0,train
17956.png,0,train
93547.png,1,train
10743.png,0,train
37091.png,0,train
25719.png,0,train
76825.png,0,train
72598.png,0,train
43078.png,0,train
51846.png,0,train
01569.png,0,train
95812.png,0,train
06418.png,0,train
53976.png,0,train
70193.png,0,train
60427.png,0,train
78395.png,0,train
04876.png,0,train
92075.png,0,train
86354.png,0,train
74386.png,1,train
59613.png,0,train
10263.png,0,train
48279.png,0,train
52610.png,1,train
58371.png,0,train
27401.png,0,train
89574.png,0,train
25473.png,0,train
47913.png,0,train
08295.png,0,train
02497.png,0,train
90471.png,0,train
69357.png,1,train
54602.png,1,train
15320.png,0,train
63182.png,0,train
20619.png,1,train
82457.png,0,train
81059.png,0,train
42137.png,0,train
74530.png,1,train
40832.png,0,train
46127.png,0,train
87594.png,0,train
12548.png,0,train
12894.png,0,train
02476.png,0,train
06937.png,0,train
05762.png,0,train
40259.png,0,train
85072.png,0,train
46537.png,0,train
56432.png,0,train
39805.png,0,train
29163.png,1,train
36072.png,0,train
60147.png,0,train
90583.png,1,train
38612.png,0,train
52097.png,1,train
34961.png,0,train
15803.png,1,train
89762.png,0,train
38465.png,0,train
53289.png,0,train
75321.png,1,train
18350.png,0,train
91547.png,0,train
30247.png,0,train
93741.png,0,train
51243.png,0,train
05384.png,0,train
01845.png,0,train
34791.png,1,train
41385.png,0,train
34508.png,1,train
80521.png,0,train
34165.png,0,train
93072.png,1,train
25468.png,1,train
09617.png,0,train
96258.png,0,train
96578.png,1,train
35618.png,0,train
05249.png,0,train
57349.png,0,train
78409.png,1,train
29814.png,1,train
20568.png,0,train
84269.png,0,train
68079.png,0,train
41537.png,0,train
12890.png,0,train
54102.png,1,train
63217.png,0,train
03271.png,0,train
35264.png,0,train
63710.png,1,train
12348.png,0,train
14052.png,1,train
81064.png,0,train
74391.png,0,train
36152.png,0,train
80256.png,0,train
21948.png,0,train
70532.png,0,train
25806.png,0,train
26759.png,1,train
27398.png,0,train
18730.png,0,train
75216.png,0,train
91754.png,0,train
42153.png,0,train
83456.png,1,train
18673.png,0,train
97523.png,0,train
24631.png,1,train
23748.png,0,train
69412.png,0,train
59073.png,0,train
28405.png,0,train
63492.png,0,train
92670.png,0,train
78351.png,0,train
79856.png,0,train
71436.png,0,train
03258.png,1,train
20736.png,1,train
50487.png,0,train
06431.png,0,train
51473.png,1,train
34901.png,0,train
28793.png,0,train
05172.png,0,train
98501.png,0,train
96231.png,0,train
81673.png,0,train
48635.png,1,train
43612.png,1,train
15480.png,1,train
41830.png,0,train
81069.png,0,train
72584.png,0,train
51763.png,0,train
06873.png,1,train
08523.png,1,train
06359.png,0,train
93260.png,0,train
40839.png,0,train
08516.png,0,train
53012.png,0,train
76250.png,1,train
26198.png,0,train
61952.png,0,train
80269.png,1,train
