image_name,label
42953.png,0
23058.png,0
13894.png,0
37408.png,0
82403.png,0
16952.png,0
76932.png,0
70914.png,0
02973.png,0
58306.png,0
79351.png,1
34096.png,0
25489.png,1
19324.png,0
79346.png,0
13426.png,0
97628.png,0
14238.png,0
28936.png,0
59784.png,0
02146.png,0
70146.png,0
28061.png,0
97180.png,0
49752.png,0
25610.png,0
15872.png,0
72640.png,1
64318.png,0
17956.png,0
93547.png,1
10743.png,0
37091.png,0
25719.png,0
76825.png,0
72598.png,0
43078.png,0
51846.png,0
01569.png,0
95812.png,0
06418.png,0
53976.png,0
70193.png,0
60427.png,0
78395.png,0
04876.png,0
92075.png,0
86354.png,0
74386.png,1
59613.png,0
10263.png,0
48279.png,0
52610.png,1
58371.png,0
27401.png,0
89574.png,0
25473.png,0
47913.png,0
08295.png,0
02497.png,0
90471.png,0
69357.png,1
54602.png,1
15320.png,0
63182.png,0
20619.png,1
82457.png,0
81059.png,0
42137.png,0
74530.png,1
40832.png,0
46127.png,0
87594.png,0
12548.png,0
12894.png,0
02476.png,0
06937.png,0
05762.png,0
40259.png,0
85072.png,0
46537.png,0
56432.png,0
39805.png,0
29163.png,1
36072.png,0
60147.png,0
90583.png,1
38612.png,0
52097.png,1
34961.png,0
15803.png,1
89762.png,0
38465.png,0
53289.png,0
75321.png,1
18350.png,0
91547.png,0
30247.png,0
93741.png,0
51243.png,0
05384.png,0
01845.png,0
34791.png,1
41385.png,0
34508.png,1
80521.png,0
34165.png,0
93072.png,1
25468.png,1
09617.png,0
96258.png,0
96578.png,1
35618.png,0
05249.png,0
57349.png,0
78409.png,1
29814.png,1
20568.png,0
84269.png,0
68079.png,0
41537.png,0
12890.png,0
54102.png,1
63217.png,0
03271.png,0
35264.png,0
63710.png,1
12348.png,0
14052.png,1
81064.png,0
74391.png,0
36152.png,0
80256.png,0
21948.png,0
70532.png,0
25806.png,0
26759.png,1
27398.png,0
18730.png,0
75216.png,0
91754.png,0
42153.png,0
83456.png,1
18673.png,0
97523.png,0
24631.png,1
23748.png,0
69412.png,0
59073.png,0
28405.png,0
63492.png,0
92670.png,0
78351.png,0
79856.png,0
71436.png,0
03258.png,1
20736.png,1
50487.png,0
06431.png,0
51473.png,1
34901.png,0
28793.png,0
05172.png,0
98501.png,0
96231.png,0
81673.png,0
48635.png,1
43612.png,1
15480.png,1
41830.png,0
81069.png,0
72584.png,0
51763.png,0
06873.png,1
08523.png,1
06359.png,0
93260.png,0
40839.png,0
08516.png,0
53012.png,0
76250.png,1
26198.png,0
61952.png,0
80269.png,1
05712.png,0
72941.png,0
21853.png,0
35219.png,1
90146.png,0
51278.png,0
63095.png,0
96058.png,0
56871.png,1
25180.png,1
37259.png,0
48106.png,1
19352.png,0
65213.png,0
24368.png,0
58426.png,0
96785.png,0
40567.png,0
38625.png,1
04823.png,0
25368.png,1
93826.png,0
56392.png,0
30986.png,0
75823.png,0
84072.png,0
93147.png,0
92874.png,1
27946.png,1
93614.png,0
93521.png,1
02691.png,0
91708.png,0
25783.png,0
16098.png,0
30452.png,0
86491.png,0
14530.png,1
81734.png,0
04683.png,0
08593.png,1
92608.png,0
61453.png,0
39601.png,0
12035.png,0
56482.png,1
56287.png,0
19036.png,0
34852.png,1
62804.png,0
81579.png,0
80247.png,0
52890.png,0
02485.png,0
50793.png,0
13857.png,0
43617.png,0
70942.png,0
49601.png,0
35102.png,0
10659.png,0
36081.png,1
68325.png,1
39256.png,0
98362.png,1
38475.png,0
49083.png,0
45938.png,1
67823.png,0
70928.png,0
24309.png,0
70925.png,1
05269.png,0
61278.png,0
81675.png,0
38629.png,0
06458.png,0
71364.png,1
26794.png,0
85704.png,0
75102.png,0
91268.png,0
42179.png,1
35097.png,0
83570.png,0
56490.png,1
07968.png,1
81259.png,1
19753.png,1
61480.png,1
54790.png,0
43517.png,1
25068.png,0
35861.png,0
92741.png,0
51736.png,1
26417.png,0
18407.png,0
47326.png,0
50768.png,0
86594.png,0
63581.png,0
95426.png,1
10264.png,0
79312.png,0
17832.png,0
15432.png,0
34506.png,0
30492.png,0
31794.png,0
04175.png,1
61578.png,0
31479.png,1
17659.png,0
29785.png,0
17205.png,1
74132.png,1
15649.png,0
51460.png,0
60329.png,0
58276.png,0
40752.png,0
79315.png,0
03241.png,1
38041.png,0
40897.png,0
56180.png,0
37865.png,0
36974.png,0
61780.png,1
81546.png,1
75432.png,0
48703.png,0
81706.png,0
42319.png,0
02139.png,0
93568.png,1
06832.png,1
20971.png,0
70936.png,0
04278.png,0
56024.png,0
53941.png,1
49270.png,0
67485.png,0
